Country,Year,DomesticType,ProductionType,DomesticConsumption,Production,Export,Import,ImporterConsumption,GreenInventory,ReExport
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Ecuador,1993,Arabica/Robusta,Arabica/Robusta,21000000,124140000,95940000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
